OTU ID	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU619	0	0	1	0	0	0	0	0
OTU620	53	18	17	36	22	28	24	30
OTU621	4	0	0	0	1	0	0	0
OTU622	0	0	0	0	0	0	0	0
OTU623	2	2	5	14	1	8	10	9
OTU624	23	26	32	26	18	28	25	9
OTU625	5	3	1	4	5	5	7	2
OTU626	0	0	0	0	0	1	0	1
OTU627	0	0	0	0	0	0	0	2
OTU628	0	0	0	0	0	0	1	1
OTU629	0	0	0	0	0	1	0	0
OTU630	0	0	0	0	0	0	0	0
OTU631	2	0	2	0	0	1	0	0
OTU632	0	0	0	1	0	1	1	1
OTU633	0	1	0	1	0	2	0	0
OTU634	6	6	4	7	2	5	9	8
OTU635	0	1	1	0	0	0	0	1
OTU636	0	0	1	0	0	0	0	0
OTU637	15	13	12	18	12	16	27	15
OTU638	1	3	4	1	1	1	2	1
OTU639	0	0	0	0	0	0	0	1
OTU640	1	4	3	1	3	2	1	5
OTU641	0	0	2	1	0	2	0	3
OTU642	23	8	13	8	7	14	7	4
OTU643	0	0	1	2	0	0	0	0
OTU644	24	20	17	13	25	14	13	23
OTU645	0	1	1	0	0	0	0	0
OTU646	3	1	3	4	1	3	0	3
OTU647	2	0	0	0	1	0	1	0
OTU648	0	0	0	4	0	0	0	2
OTU649	3	5	4	5	5	2	3	2
OTU650	0	0	0	0	0	0	0	0
OTU651	0	0	0	0	0	1	1	0
OTU652	0	1	0	0	1	1	0	0
OTU653	1	1	0	3	0	0	2	0
OTU654	2	3	1	4	2	1	3	2
OTU655	37	36	38	33	35	37	46	38
OTU656	10	11	11	4	7	9	7	14
